,_id,username,tweet,sentiment.neg,sentiment.neu,sentiment.pos,sentiment.compound
0,1527185313919127553,elonmusk,https://t.co/E1IacL9wfN,0.0,1.0,0.0,0.0
1,1527156117553483783,elonmusk,What I love most about wacktivists is their incredible sense of humor 👼,0.0,0.646,0.354,0.7624
2,1527152372413251584,elonmusk,A clear case of wacktivism,0.0,0.606,0.394,0.3818
3,1527146826784296962,elonmusk,Yup https://t.co/0cJUKv9hWl,0.0,1.0,0.0,0.0
4,1527093444899905536,elonmusk,Another batch of Starlinks reach orbit https://t.co/scNaZPZBux,0.0,0.845,0.155,0.0258
5,1527092956477509634,elonmusk,😛 🍿,0.0,1.0,0.0,0.0
6,1526997132858822658,elonmusk,"In the past I voted Democrat, because they were (mostly) the kindness party.

But they have become the party of division &amp; hate, so I can no longer support them and will vote Republican.

Now, watch their dirty tricks campaign against me unfold … 🍿",0.274,0.605,0.121,-0.8842
7,1526961753619369987,elonmusk,Despite Tesla doing more for the environment than any company ever! https://t.co/ImxrhnRepj,0.0,1.0,0.0,0.0
8,1526961470562508802,elonmusk,Political attacks on me will escalate dramatically in coming months,0.244,0.756,0.0,-0.4404
9,1526960512231153664,elonmusk,.@SPGlobalRatings has lost their integrity,0.291,0.38,0.329,0.0772
10,1526958110023245829,elonmusk,"Exxon is rated top ten best in world for environment, social &amp; governance (ESG) by S&amp;P 500, while Tesla didn’t make the list!

ESG is a scam. It has been weaponized by phony social justice warriors.",0.082,0.705,0.214,0.7177
11,1526844011746582529,elonmusk,Even applied 2 urslf,0.0,1.0,0.0,0.0
12,1526823877724217348,elonmusk,bullsh*t baffles brains,0.0,1.0,0.0,0.0
13,1526685434910212102,elonmusk,Tesla AI Day #2 on Aug 19. So many cool updates!,0.0,0.777,0.223,0.4349
14,1526598807722549248,elonmusk,"Twitter claims that &gt;95% of daily active users are real, unique humans. Does anyone have that experience?",0.0,0.856,0.144,0.4019
15,1525739780323016704,elonmusk,Not to mention potential bugs in the code. Open source is the way to go to solve both trust and efficacy.,0.0,0.788,0.212,0.6249
16,1525738556102164480,elonmusk,"I’m not suggesting malice in the algorithm, but rather that it’s trying to guess what you might want to read and, in doing so, inadvertently manipulate/amplify your viewpoints without you realizing this is happening",0.0,0.958,0.042,0.1154
17,1525664924432846848,elonmusk,"Iconic
laconic
!platonic",0.0,1.0,0.0,0.0
18,1525650872763555847,elonmusk,Incredible art,0.0,1.0,0.0,0.0
19,1525650288560029702,elonmusk,Great shoes,0.0,0.196,0.804,0.6249
20,1525638419958972419,elonmusk,Borderline too sexy https://t.co/2ShbhQKilz,0.0,0.469,0.531,0.5267
21,1525632639151099906,elonmusk,"Sooo tasty at first, but then no more golden eggs …",0.219,0.781,0.0,-0.4215
22,1525631880279822337,elonmusk,The Golden State is cooking its golden geese,0.0,1.0,0.0,0.0
23,1525625936007372802,elonmusk,The Lawyers Who Ate California https://t.co/i4PCxc5RBH,0.0,1.0,0.0,0.0
24,1525614005045313536,elonmusk,(This message brought to you by the Illuminaughty),0.0,1.0,0.0,0.0
